;--- SAb
;; SuWAbap_1
SuWAb   Nap     nit;louse egg
SuWAb   N       nits;lice eggs
Si}obAn N       nits;lice eggs
SiybAn  N       nits;lice eggs
;
;; SAbAt_1
SAbAt   N0      Sabat
;
;--- SAj
;; SAj_1
SAj     N       sheet metal
;
;--- SAd
;; SAd_1
SAd     NduAt   Sad (Arabic letter)
;
;--- SAg
;; SAg_1
SAg     N       standard
;
;--- SAl
;; SAlap_1
SAl     NapAt   hall
;
;--- SAy
;; SaOaY-a_1
SaOaY   PV_0    twitter;chirp
SaOay   PV_Atn  twitter;chirp
SaOa    PV_ttAw twitter;chirp
SoOaY   IV_0    twitter;chirp
SoOay   IV_Ann  twitter;chirp
So}ay   IV_Ann  twitter;chirp
;; SaOaY-i_1
SaOaY   PV_0    twitter;chirp
Sa|     PV_h    twitter;chirp
SaOay   PV_Atn  twitter;chirp
SaO     PV_ttAw twitter;chirp
So}iy   IV_0hAnn        twitter;chirp
SoO     IV_0hwnyn       twitter;chirp
So}     IV_0hwnyn       twitter;chirp
SoW     IV_wn   twitter;chirp
;; Sa}iy~_1
Sa}iy~  N       twittering;chirping
;
;--- Sb
;; Sab~-u_1
Sab~    PV_V    pour;flow
Sabab   PV_C    pour;flow
Sub~    IV_V    pour;flow
Sobub   IV_C    pour;flow
;; Sab~-a_1
Sab~    PV_V    love passionately
Sabib   PV_C    love passionately
Sab~    IV_V    love passionately
Sobab   IV_C    love passionately
;; taSab~ab_1
taSab~ab        PV      flow;perspire;drip
taSab~ab        IV      flow;perspire;drip
;; AinoSab~_1
AinoSab~        PV_V_intr       be poured out;flow
AinoSabab       PV_C_intr       be poured out;flow
noSab~  IV_V_intr       be poured out;flow
noSabib IV_C_intr       be poured out;flow
;; Sab~_1
Sab~    N       pouring;flowing
;; Sabab_1
Sabab   N       declivity;slope
OaSobAb N       hillsides;slopes
;; Sabiyb_1
Sabiyb  N-ap    poured out;spilled
;; SabAbap_1
SabAb   Nap     passionate love
;; SubAbap_1
SubAb   Nap     remainder
;; maSab~_1
maSab~  NduAt   outlet;drain;funnel
maSAb~  Ndip    outlets;drains;funnels
;; maSobuwb_1
maSobuwb        N       lead (metal)
maSobuwb        NAt     cast-metal goods;foundry products;hot lead
;; Sab~Ab_1
Sab~Ab  N       spout;pouring lip
;; AinoSibAb_1
AinoSibAb       N/At    pouring out;throwing out
;
;--- SbA
;; SabaO-a_1
SabaO   PV-O    grow;sprout
Saba|   PV-|    grow;sprout
SabaW   PV_w    grow;sprout
SobaO   IV      grow;sprout
Soba|   IV-|    grow;sprout
SobaW   IV_wn   grow;sprout
Soba}   IV_yn   grow;sprout
;; Subuw'_1
Subuw'  N0_Nh   growing;sprouting
Subuw}  Nhy     growing;sprouting
;; SAbi}iy~_1
SAbi}iy~        Nall    Sabian;Mandean     [[SAbi}iy~/NOUN]]
SAbi}iy~        Nall    Sabian;Mandean     [[SAbi}iy~/ADJ]]
;
;--- SbH
;; Sab~aH_1
Sab~aH  PV      greet
Sab~iH  IV_yu   greet
;; OaSobaH_1
OaSobaH PV      become;begin;start
SobiH   IV_yu   become;begin;start
;; AisotaSobaH_1
AisotaSobaH     PV      light;illuminate
sotaSobiH       IV      light;illuminate
;; SuboH_1
SuboH   N       morning;daybreak
OaSobAH N       mornings;daybreak
;; SuboHiy_1
SuboHiy N0      Subhi;Sobhi
;; SabAH_1
SabAH   N       morning
SabAH   NF      in the morning     [[SabAH/ADV]]
;; SabAHiy~_1
SabAHiy~        N-ap    morning;matinal     [[SabAHiy~/ADJ]]
;; SabAH_2
SabAH   N0      Sabah
;; SubAH_1
SubAH   N0      Subah
;; SubAH_2
SubAH   N       cute;comely;attractive
;; SuboHAn_1
SuboHAn Ndip    cute;comely;attractive
SaboHaY N0      cute;comely;attractive
SaboHA  Nhy     cute;comely;attractive
;; SabiyH_1
SabiyH  N-ap    cute;comely;attractive     [[SabiyH/ADJ]]
;; SabAHap_1
SabAH   Nap     beauty
;; SabiyHap_1
SabiyH  Nap     morning
;; SabuwH_1
SabuwH  N-ap    radiant     [[SabuwH/ADJ]]
;; miSobAH_1
miSobAH Ndu     lamp;light
maSAbiyH        Ndip    lamps;lights
;; miSobAH_2
miSobAH N0      Misbah
;; AisotiSobAH_1
AisotiSobAH     N/At    illumination;illuminating
;; taSobiyH_1
taSobiyH        N/At    greeting;hellos
;
;--- Sbr
;; Sabar-i_1
Sabar   PV_intr be patient;endure
Sobir   IV_intr be patient;endure
;; Sab~ar_1
Sab~ar  PV      preserve;comfort;stabilize;ballast
Sab~ir  IV_yu   preserve;comfort;stabilize;ballast
;; SAbar_1
SAbar   PV      endure patiently
SAbir   IV_yu   endure patiently
;; taSab~ar_1
taSab~ar        PV_intr be patient;endure
taSab~ar        IV_intr be patient;endure
;; AiSoTabar_1
AiSoTabar       PV_intr be patient;endure
SoTabir IV_intr be patient;endure
;; Sabor_1
Sabor   N       patience;endurance
;; Saboriy_1
Saboriy Nprop   Sabri;Sabry
;; SaborA_1
SaborA  Nprop   Sabra
;; Saborap_1
Sabor   Nap     severe cold
;; Suborap_1
Subor   Napdu   pile;heap
;; SuborapF_1
SuborapF        FW-Wa   on the whole;summarily    [[SuborapF/ADV]]
;; Sabuwr_1
Sabuwr  N-ap    patient;enduring
;; Sabuwr_2
Sabuwr  N0      Sabour
;; SabArap_1
